time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,windSpeed,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
1514745000,Clear throughout the day.,clear-day,1514769891,1514810764,0.47,0,0,0,31.11,1514791800,22.11,1514842200,32.67,1514799000,22.53,1514842200,19.52,0.68,0.23,265,0.13,7,1514788200,6,22.11,1514763000,31.11,1514791800,22.53,1514763000,32.67,1514799000
1514831400,Clear throughout the day.,clear-day,1514856313,1514897197,0.51,0,0,0,31.61,1514881800,21.11,1514935800,32.49,1514881800,21.42,1514935800,18.7,0.66,0.21,328,0.05,7,1514874600,5.58,22.11,1514842200,31.61,1514881800,22.53,1514842200,32.49,1514881800
1514917800,Clear throughout the day.,clear-day,1514942734,1514983631,0.54,0,0,0,32.11,1514964600,21.11,1515025800,32.29,1514964600,21.42,1515025800,18.11,0.64,0.48,297,0.11,7,1514961000,6.45,21.11,1514935800,32.11,1514964600,21.42,1514935800,32.29,1514964600
1515004200,Clear throughout the day.,clear-day,1515029154,1515070064,0.58,0,0,0,32.11,1515054600,22.11,1515108600,33.61,1515058200,22.53,1515108600,18.83,0.66,1.15,11,0.06,7,1515047400,7,21.11,1515025800,32.11,1515054600,21.42,1515025800,33.61,1515058200
1515090600,Clear throughout the day.,clear-day,1515115574,1515156498,0.62,0,0,0,31.61,1515141000,22.11,1515195000,33.14,1515144600,22.59,1515202200,19.7,0.69,0.38,178,0.04,7,1515133800,5.79,22.11,1515108600,31.61,1515141000,22.53,1515108600,33.14,1515144600
1515177000,Clear throughout the day.,clear-day,1515201992,1515242931,0.65,0,0,0,32.11,1515227400,20.1,1515285000,33.61,1515231000,20.53,1515288600,19.81,0.72,0.21,39,0.05,6,1515216600,5.33,22.11,1515195000,32.11,1515227400,22.59,1515202200,33.61,1515231000
1515263400,Clear throughout the day.,clear-day,1515288410,1515329365,0.69,0,0,0,31.61,1515313800,20.1,1515371400,32,1515313800,20.32,1515371400,18.34,0.68,1.48,354,0.04,7,1515306600,5.73,20.1,1515285000,31.61,1515313800,20.53,1515288600,32,1515313800
1515349800,Clear throughout the day.,clear-day,1515374826,1515415799,0.72,0,0,0,30.77,1515393000,21.11,1515457800,30.99,1515400200,21.29,1515461400,18.01,0.66,0.84,343,0.04,7,1515393000,5.76,20.1,1515371400,30.77,1515393000,20.32,1515371400,30.99,1515400200
1515436200,Clear throughout the day.,clear-day,1515461242,1515502233,0.76,0,0,0,31.11,1515486600,22.11,1515544200,32.23,1515490200,22.53,1515544200,18.57,0.66,0.72,174,0.05,8,1515483000,5.87,21.11,1515457800,31.11,1515486600,21.29,1515461400,32.23,1515490200
1515522600,Partly cloudy in the evening.,partly-cloudy-day,1515547657,1515588667,0.79,0,0,0,33.11,1515573000,24.09,1515627000,35.44,1515573000,24.72,1515630600,20.19,0.69,0.04,52,0.16,7,1515565800,5.46,22.11,1515544200,33.11,1515573000,22.53,1515544200,35.44,1515573000
