temperatureHigh,temperatureLow,humidity,precipIntensityMax,precipProbability,windSpeed,cloudCover
31.11,22.11,0.68,0,0,0.23,0.13
31.61,21.11,0.66,0,0,0.21,0.05
32.11,21.11,0.64,0,0,0.48,0.11
32.11,22.11,0.66,0,0,1.15,0.06
31.61,22.11,0.69,0,0,0.38,0.04
32.11,20.1,0.72,0,0,0.21,0.05
31.61,20.1,0.68,0,0,1.48,0.04
30.77,21.11,0.66,0,0,0.84,0.04
31.11,22.11,0.66,0,0,0.72,0.05
33.11,24.09,0.69,0,0,0.04,0.16
33.14,25.09,0.66,0,0,0.37,0.11
33.11,24.09,0.69,0,0,1,0.2
34.59,23.59,0.74,0,0,0.59,0.14
35.08,22.11,0.63,0,0,1.22,0.07
34.59,22.11,0.64,0,0,0.4,0.04
33.48,24.09,0.67,0,0,0.68,0.11
31.61,22.11,0.76,0,0,1.06,0.19
33.11,22.11,0.68,0,0,0.48,0.08
33.11,20.6,0.55,0,0,0.51,0.07
33.11,22.11,0.6,0,0,0.95,0.1
32.11,22.98,0.67,0,0,0.57,0.03
30.63,22.11,0.72,0,0,0.26,0.13
32.61,21.61,0.68,0,0,0.93,0.16
32.61,22.11,0.61,0,0,2.56,0.07
29.6,22.11,0.65,0,0,2.08,0.1
32.11,23.09,0.74,0,0,0.75,0.08
30.61,23.09,0.75,0,0,0.25,0.13
32.11,22.6,0.72,0,0,0.34,0.1
32.11,22.11,0.71,0,0,0.57,0.04
33.6,22.11,0.7,0,0,0.23,0.04
35.1,20.6,0.62,0,0,0.65,0.02
34.59,21.11,0.51,0,0,0.75,0.03
32.61,21.11,0.61,0,0,0.76,0
32.61,22.11,0.64,0,0,0.86,0.04
33.6,21.11,0.66,0,0,0.51,0.08
34.09,23.09,0.66,0,0,0.41,0.07
33.6,23.09,0.68,0,0,0.4,0.17
29.3,24.09,0.68,0,0,1.15,0.51
32.11,24.09,0.65,0,0,0.57,0.75
32.61,25.09,0.62,0,0,1.39,0.7
34.62,24.09,0.66,0,0,0.97,0.5
33.11,24.09,0.68,0,0,0.56,0.3
32.14,24.59,0.68,0,0,2.02,0.21
32.14,23.09,0.64,0,0,2.15,0.3
33.6,23.59,0.64,0,0,0.5,0.18
34.09,23.09,0.68,0,0,0.24,0.15
33.6,24.09,0.69,0,0,0.69,0.14
34.59,22.6,0.66,0,0,0.43,0.1
33.6,23.09,0.69,0,0,1.23,0.06
33.11,24.09,0.73,0,0,0.53,0.14
33.11,24.09,0.71,0,0,0.75,0.05
34.26,23.09,0.66,0,0,0.81,0.09
34.09,23.59,0.67,0,0,0.25,0.09
34.59,23.09,0.66,0,0,0.13,0.11
34.59,24.09,0.65,0,0,0.54,0.06
35.1,23.59,0.66,0,0,0.47,0.06
34.09,23.09,0.68,0,0,0.72,0.13
34.59,23.09,0.65,0,0,0.49,0.07
35.61,24.09,0.64,0,0,0.63,0
34.42,23.09,0.64,0,0,0.48,0.06
35.61,23.09,0.65,0,0,0.38,0.05
33.79,24.09,0.68,0,0,0.77,0.07
32.61,25.09,0.73,0,0,0.48,0.15
33.11,25.09,0.71,0,0,1.08,0.18
34.09,25.09,0.69,0,0,0.77,0.12
34.97,25.09,0.67,0,0,1.04,0.26
33.48,25.09,0.67,0,0,0.77,0.19
34.09,25.09,0.71,0,0,1.18,0.18
34.13,24.59,0.74,0,0,0.91,0.17
36.12,24.09,0.69,0,0,0.56,0.16
35.1,25.09,0.69,0,0,0.63,0.14
35.1,27.09,0.68,0,0,0.14,0.2
33.6,23.66,0.77,0,0,1.31,0.54
31.11,25.09,0.79,0,0,0.39,0.75
31.81,26.11,0.82,0,0,0.68,0.75
33.11,26.11,0.74,0,0,0.85,0.45
33.6,24.59,0.73,0,0,0.51,0.35
33.95,24.09,0.7,0,0,0.41,0.57
34.09,25.09,0.7,0,0,1,0.22
33.14,26.11,0.71,0,0,1.54,0.23
33.11,25.6,0.68,0,0,1.81,0.18
33.3,23.09,0.63,0,0,2.93,0.13
33.6,26.11,0.65,0,0,2.84,0.03
34.29,26.11,0.71,0,0,1.07,0.19
33.61,27.09,0.74,0,0,1.07,0.31
33.14,26.11,0.75,0,0,1.58,0.55
34.09,25.6,0.73,0,0,1.46,0.3
33.14,26.11,0.72,0,0,1.08,0.28
32.47,28.11,0.73,0,0,1.48,0.35
33.11,26.11,0.69,0,0,1.83,0.4
34.09,26.6,0.7,0,0,1.02,0.27
33.14,26.11,0.72,0,0,1.15,0.35
33.6,24.59,0.71,0,0,1.22,0.38
34.09,25.6,0.69,0,0,1.17,0.21
33.79,27.09,0.74,0,0,1.16,0.26
33.6,27.09,0.73,0,0,1.03,0.27
34.59,27.6,0.72,0,0,1.19,0.3
34.97,25.09,0.69,0,0,0.38,0.29
35.11,26.6,0.69,0,0,0.86,0.25
34.63,25.09,0.74,0,0,1.03,0.39
33.64,26.11,0.66,0,0,0.43,0.34
34.09,26.11,0.66,0,0,1.06,0.27
34.09,26.6,0.69,0,0,0.45,0.34
34.09,25.1,0.69,0,0,1.3,0.24
32.61,25.09,0.75,0,0,1.14,0.33
34.13,25.09,0.72,0,0,0.82,0.33
32.11,25.09,0.77,0,0,1.18,0.48
32.32,28.11,0.78,0,0,2.21,0.43
32.77,23.09,0.78,0,0,0.64,0.45
33.6,26.11,0.77,0,0,1,0.59
34.63,28.11,0.76,0,0,1.51,0.28
34.09,25.09,0.73,0,0,1.53,0.4
33.6,26.6,0.73,0,0,0.96,0.38
33.6,27.09,0.72,0,0,1.51,0.32
33.14,27.6,0.73,0,0,1.61,0.41
34.09,26.11,0.67,0,0,2.25,0.27
34.59,26.6,0.7,0,0,1.86,0.25
33.95,27.09,0.71,0,0,1.31,0.32
34.09,27.09,0.71,0,0,1.26,0.28
33.11,28.11,0.75,0,0,1.82,0.43
33.14,28.11,0.73,0,0,1.83,0.36
34.09,27.09,0.69,0,0,2.13,0.4
33.6,26.6,0.72,0,0,1.26,0.36
33.6,28.11,0.73,0,0,0.59,0.41
35.1,26.6,0.72,0,0,1.41,0.29
33.11,27.09,0.77,0,0,1.16,0.34
34.59,25.09,0.74,0,0,1.63,0.36
33.11,23.09,0.78,0,0,1.41,0.52
33.11,24.09,0.79,0,0,0.59,0.64
32.11,25.09,0.79,0,0,0.99,0.65
33.14,23.09,0.73,0,0,0.72,0.5
32.27,26.11,0.78,0,0,0.38,0.48
33.11,24.09,0.75,0,0,0.73,0.38
32.61,24.09,0.76,0,0,1,0.69
33.11,25.09,0.7,0,0,1.02,0.51
33.11,25.6,0.72,0,0,0.83,0.35
33.6,23.59,0.77,0,0,0.84,0.4
31.11,26.11,0.8,0,0,0.62,0.57
32.11,22.11,0.77,0,0,1.14,0.35
25.09,33.75,23,29.11,1526808600,0.6,1526797800
24.09,37.78,281,30.61,1526884200,0.48,1526884200
26.11,38.05,342,32.11,1526977800,0.36,1526974200
24.09,39.34,324,32.11,1527060600,0.41,1527057000
26.11,39.34,337,32.11,1527143400,0.42,1527143400
22.11,40.07,343,32.11,1527229800,0.64,1527226200
25.09,38.57,10,31.11,1527319800,0.75,1527312600
24.09,36.36,280,30.1,1527406200,0.75,1527399000
30.63,24.09,0.85,0,0,0.3,0.74
24.09,26.66,300,25.6,1527564600,0.8,1527571800
26.11,31.94,311,27.6,1527665400,0.75,1527658200
26.11,38.63,221,31.61,1527755400,0.57,1527755400
24.09,37.9,197,31.11,1527831000,0.36,1527834600
26.11,39.34,147,32.11,1527928200,0.52,1527921000
25.09,37.9,164,31.11,1528003800,0.4,1528007400
25.09,33.75,165,29.11,1528111800,0.74,1528090200
26.11,34.22,184,29.11,1528191000,0.62,1528176600
25.09,37.78,226,30.61,1528263000,0.44,1528270200
25.09,30.3,224,27.11,1528345800,0.75,1528349400
24.59,31.04,265,27.09,1528439400,0.75,1528435800
24.09,26.11,302,25.09,1528515000,0.74,1528522200
26.11,38.29,269,30.1,1528615800,0.71,1528608600
26.6,35.26,275,29.11,1528695000,0.75,1528695000
27.09,37.62,265,30.1,1528788600,0.56,1528781400
24.59,37.62,274,30.1,1528867800,0.61,1528871400
24.09,29.69,189,26.6,1528965000,0.68,1528954200
24.09,36.36,201,30.1,1529044200,0.54,1529044200
25.09,36.36,215,30.1,1529134200,0.51,1529130600
24.59,32.91,140,28.11,1529235000,0.66,1529217000
